date,kaub_cm,source
2018-10-14,48,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-15,42,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-16,42,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-17,37,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-18,33,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-19,36,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-20,29,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-21,27,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-22,25,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-23,28,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-24,27,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-25,31,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-26,30,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
